,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
42,5.8,80.00000,5.87674,8.88889,4.44444,17.99423,11.47783,2.68111,1.62333,0.82778,0.54853,0.65297
43,5.5,110.00000,8.33949,8.46154,4.30769,16.93448,11.53475,2.67846,1.62692,0.78769,0.57243,0.64150
44,5.8,38.00000,4.54266,12.66667,4.66667,26.62169,11.35477,2.80667,1.71667,0.92000,0.48651,1.51422
45,7.5,80.00000,7.73466,10.00000,5.00000,20.25528,11.02673,2.79000,1.67250,0.85250,0.49528,0.96683
46,6.3,268.00000,22.28931,10.30769,4.92308,20.78526,11.07145,2.74231,1.72769,0.88462,0.49676,0.85728
47,3.3,378.00000,53.92300,34.36364,5.09091,79.33656,9.36165,2.30545,1.91909,1.20455,0.46200,4.90209
48,6.8,250.00000,27.40398,12.50000,4.70000,25.40822,11.10084,2.68200,1.77750,0.94000,0.49619,1.37020
49,2.8,130.00000,13.35533,21.66667,5.66667,50.54252,12.04152,3.02333,1.65000,0.84167,0.48247,2.22589
50,3.5,68.00000,3.55533,11.33333,5.33333,22.68885,11.82427,2.89000,1.69833,0.89000,0.49968,0.59255
51,3.8,106.00000,12.83199,10.60000,4.80000,21.59364,11.82448,2.85700,1.68700,0.83200,0.49638,1.28320
52,3.8,92.00000,6.69799,9.20000,4.80000,18.43954,11.79886,2.80500,1.65600,0.84800,0.49920,0.66980
53,3.8,105.00000,12.39799,10.50000,4.80000,21.50294,11.77764,2.82900,1.68800,0.83700,0.49533,1.23980
54,6.3,138.00000,11.61866,10.61538,4.92308,21.40010,11.02562,2.73385,1.71923,0.89385,0.49691,0.89374
55,6,130.00000,10.67066,10.00000,4.92308,20.17043,11.11729,2.75077,1.73615,0.87538,0.49661,0.82082
56,6,138.00000,10.56166,10.61538,4.92308,21.40954,11.05588,2.74231,1.77308,0.90615,0.49718,0.81244
57,5.8,390.00000,30.85214,9.51220,4.68293,19.04372,11.53093,2.71537,1.64854,0.85171,0.52265,0.75249
58,5,250.00000,14.36740,11.36364,4.72727,22.83211,11.48454,2.65864,1.71864,0.93682,0.52002,0.65306
59,5,250.00000,14.36756,11.90476,4.95238,24.01419,11.56505,2.70619,1.74571,0.96429,0.49628,0.68417
60,5,258.00000,14.36898,12.28571,4.95238,24.79741,11.35290,2.66714,1.75905,0.98333,0.49656,0.68424
61,4.8,1894.00000,25.98214,8.41778,5.79556,16.83953,13.26582,3.32160,1.55618,0.68036,0.50414,0.11548
62,3.5,50.00000,3.25400,10.00000,4.80000,20.01694,11.64556,2.77400,1.71400,0.88200,0.49973,0.65080
64,2.3,110.00000,23.00000,36.66667,2.66667,82.59847,8.50413,2.14667,2.00667,1.25333,0.45680,7.66667
65,1.5,90.00000,11.46400,18.00000,5.60000,39.56806,12.08630,2.86800,1.65200,0.86400,0.47620,2.29280
66,5.8,75.00000,15.60400,25.00000,4.33333,54.27520,9.35033,2.14000,1.89667,1.16000,0.46833,5.20133
67,3.3,102.00000,17.92724,11.33333,3.33333,23.72873,12.22999,2.65333,1.50333,0.70222,0.65207,1.99192
68,4.8,100.00000,7.60758,7.69231,4.30769,15.38104,12.19848,2.77615,1.49385,0.69308,0.60957,0.58520
69,6,116.00000,7.76799,11.60000,4.80000,23.23182,11.02384,2.64400,1.79400,0.96000,0.49951,0.77680
70,6,100.00000,8.14799,10.00000,4.80000,20.07702,11.33044,2.70600,1.67800,0.89200,0.49845,0.81480
71,6,128.00000,20.41599,12.80000,4.80000,26.38522,11.38168,2.81000,1.74000,0.86000,0.49282,2.04160
72,6,120.00000,13.74799,12.00000,4.80000,24.78962,11.16682,2.75200,1.75400,0.90800,0.49160,1.37480
73,6,102.00000,10.06599,10.20000,5.00000,20.61253,10.99836,2.76600,1.70000,0.86000,0.49607,1.00660
74,6,114.00000,8.50599,11.40000,4.60000,23.01133,10.59066,2.58600,1.74200,0.98000,0.49618,0.85060
75,6,98.00000,8.88599,9.80000,4.60000,19.85653,10.89726,2.64800,1.62600,0.91200,0.49512,0.88860
76,6,126.00000,21.15399,12.60000,4.60000,26.16473,10.94850,2.75200,1.68800,0.88000,0.48949,2.11540
77,6,118.00000,14.48599,11.80000,4.60000,24.56913,10.73364,2.69400,1.70200,0.92800,0.48827,1.44860
78,6,100.00000,10.80399,10.00000,4.80000,20.39203,10.56518,2.70800,1.64800,0.88000,0.49274,1.08040
79,2.3,10116.00000,502.57571,9.54340,5.78113,19.37908,12.97660,3.18443,1.57710,0.73183,0.49762,0.47413
80,6.8,276.00000,21.75940,10.22222,4.74074,20.53079,11.21126,2.70741,1.71667,0.87630,0.51517,0.80590
81,6.8,291.00000,39.42940,10.77778,4.74074,22.18191,11.35801,2.76852,1.68778,0.82630,0.51028,1.46035
82,6.8,294.00000,40.73140,10.88889,4.74074,22.28268,11.41006,2.79963,1.68667,0.82074,0.51145,1.50857
83,3.8,165.00000,30.29082,11.00000,4.06667,22.97767,12.12276,2.84800,1.57600,0.72800,0.55684,2.01939
84,6.5,56.00000,6.50866,18.66667,4.66667,41.07402,11.29003,2.73667,1.75667,0.97333,0.47951,2.16955
85,3.3,104.00000,5.50533,17.33333,5.33333,38.89702,11.67402,2.87167,1.76000,0.94333,0.48447,0.91755
86,6.3,192.00000,15.04199,13.71429,5.00000,29.53123,11.36127,2.79214,1.76929,0.90857,0.49021,1.07443
87,6,118.00000,12.06416,6.94118,4.23529,14.01316,11.96199,2.67294,1.54118,0.74353,0.54451,0.70966
88,7.8,266.00000,24.94598,9.17241,4.96552,18.53401,11.51640,2.80172,1.66310,0.82103,0.49263,0.86021
89,5.8,107.00000,11.62433,10.70000,4.70000,21.98931,11.08810,2.50200,1.70800,0.95100,0.48595,1.16243
90,2.8,208.00000,15.78715,9.45455,4.36364,18.96581,11.28792,2.62455,1.66000,0.87182,0.54222,0.71760
91,2.8,208.00000,15.78748,10.40000,4.80000,21.06155,11.43734,2.72100,1.71100,0.92300,0.49460,0.78937
92,2.8,250.00000,34.18915,11.36364,4.36364,23.26686,11.32285,2.69545,1.70227,0.85000,0.53838,1.55405
93,2.8,250.00000,34.18948,12.50000,4.80000,25.79270,11.47577,2.79900,1.75750,0.89900,0.49038,1.70947
94,2,214.00000,25.49400,42.80000,5.60000,102.82756,9.13020,2.30800,1.90800,1.22400,0.45825,5.09880
95,6.3,74.00000,14.88400,14.80000,4.40000,31.57464,11.14446,2.68400,1.73200,0.90000,0.48204,2.97680
96,6.3,76.00000,15.75200,15.20000,4.40000,31.93742,11.33182,2.79600,1.72800,0.88000,0.48624,3.15040
97,2.8,1196.00000,51.81137,9.49206,5.80952,18.99699,12.81521,3.19976,1.58024,0.73238,0.50724,0.41120
98,3.8,30.00000,2.70175,7.50000,4.00000,14.99686,11.70510,2.67250,1.49500,0.71000,0.61849,0.67544
99,7.3,192.00000,21.83031,8.00000,4.66667,16.33281,11.29281,2.75375,1.67250,0.80833,0.48742,0.90960
100,2.3,198.00000,11.44632,4.60465,3.16279,8.86846,12.71967,2.61628,1.39674,0.55442,0.72441,0.26619
101,3,235.00000,60.67400,23.50000,3.10000,50.18110,8.79744,2.16500,1.90400,1.15000,0.47432,6.06740
102,2.8,790.00000,105.51400,39.50000,5.30000,93.78445,9.27386,2.27900,1.90700,1.21450,0.45715,5.27570
103,2.8,210.00000,33.00100,35.00000,4.66667,81.44717,9.13858,2.24833,1.90667,1.19833,0.46132,5.50017
105,6.3,74.00000,14.88400,14.80000,4.40000,31.57464,11.14446,2.68400,1.73200,0.90000,0.48204,2.97680
106,6.3,52.00000,4.66400,10.40000,5.20000,20.83302,11.43154,2.82400,1.75200,0.84000,0.49940,0.93280
107,5.8,60.00000,12.90200,20.00000,4.66667,40.93713,9.45330,2.35667,1.85667,1.08333,0.49167,4.30067
108,5.8,58.00000,11.87400,19.33333,4.66667,39.98767,9.54080,2.33000,1.88000,1.10667,0.48783,3.95800
109,5.5,79.00000,15.59300,39.50000,3.50000,90.22670,8.12415,1.98000,2.01500,1.28500,0.44799,7.79650
110,3.8,218.00000,37.85382,10.38095,3.61905,21.53716,12.33510,2.75143,1.49714,0.67810,0.63225,1.80256
111,2.5,82.00000,10.50707,41.00000,4.00000,93.88460,9.69500,2.44500,1.98000,1.26500,0.43688,5.25354
112,5.8,38.00000,4.54266,12.66667,4.66667,26.62169,11.35477,2.80667,1.71667,0.92000,0.48651,1.51422
113,2.5,30.00000,1.74283,6.00000,3.20000,11.66355,12.41584,2.51800,1.39400,0.66400,0.69560,0.34857
114,5.5,36.00000,8.90333,18.00000,4.00000,37.34622,10.62900,2.67500,1.74500,0.90500,0.48855,4.45167
115,3.5,392.00000,38.13423,6.42623,3.47541,12.71290,13.08058,2.72410,1.38197,0.55984,0.71480,0.62515
116,3,50.00000,3.25400,10.00000,4.80000,20.01694,11.64556,2.77400,1.71400,0.88200,0.49973,0.65080
117,2.8,696.00000,82.39847,18.31579,4.63158,42.45540,12.16966,2.85605,1.56947,0.76105,0.56161,2.16838
118,1.5,194.00000,27.10599,48.50000,4.50000,118.01900,11.70255,2.53000,1.99000,1.16000,0.43916,6.77650
119,5.5,501.00000,40.41246,9.27778,4.53704,18.76530,10.97550,2.66130,1.70833,0.87889,0.51324,0.74838
120,5.5,537.00000,41.01512,9.58929,4.66071,19.38256,11.03773,2.69018,1.70518,0.88071,0.51275,0.73241
121,5.5,475.00000,37.01046,9.89583,4.47917,20.08761,10.71632,2.58938,1.73396,0.91917,0.51406,0.77105
122,5.5,459.00000,37.00730,9.18000,4.30000,18.54654,10.85762,2.58500,1.69940,0.88080,0.53400,0.74015
123,5.5,564.00000,44.46546,10.44444,4.66667,20.98045,11.10178,2.67037,1.71352,0.89704,0.51591,0.82343
124,5.5,600.00000,45.06812,10.71429,4.78571,21.51859,11.15949,2.69893,1.71018,0.89821,0.51532,0.80479
125,5.5,538.00000,41.06346,11.20833,4.62500,22.57964,10.85837,2.59958,1.73979,0.93958,0.51706,0.85549
126,5.5,522.00000,41.06030,10.44000,4.44000,20.93889,10.99399,2.59480,1.70500,0.90040,0.53688,0.82121
127,5.5,557.00000,39.64946,10.31481,4.53704,20.85345,10.87201,2.64704,1.77056,0.93074,0.51421,0.73425
128,5.5,593.00000,40.25212,10.58929,4.66071,21.39613,10.93793,2.67643,1.76518,0.93071,0.51368,0.71879
129,5.5,531.00000,36.24746,11.06250,4.47917,22.43677,10.59988,2.57333,1.80396,0.97750,0.51515,0.75516
130,5.5,515.00000,36.24430,10.30000,4.30000,20.80173,10.74584,2.56960,1.76660,0.93680,0.53505,0.72489
131,10,6.00000,1.70000,6.00000,4.00000,12.00960,11.26030,2.55000,1.70000,0.75000,0.49954,1.70000
132,2.5,142.00000,2.61998,6.17391,3.13043,12.07950,12.85996,2.55000,1.39348,0.61217,0.75321,0.11391
133,1.5,394.00000,51.86448,14.59259,3.92593,33.41370,11.86754,2.70741,1.62444,0.81704,0.59633,1.92091
134,6.5,66.00000,7.31266,22.00000,5.33333,50.23602,11.52670,2.94667,1.73667,0.89333,0.47375,2.43755
135,3.3,86.00000,4.54533,14.33333,5.33333,30.61252,11.75455,2.88167,1.72833,0.91667,0.48879,0.75755
136,6.3,174.00000,13.56866,13.38462,4.92308,28.88079,10.95627,2.72538,1.74769,0.91846,0.48989,1.04374
137,2.5,64.00000,10.50300,32.00000,4.00000,71.65710,10.27190,2.54500,1.93000,1.18000,0.45761,5.25150
138,3.3,112.00000,13.05400,22.40000,5.20000,53.44134,11.90626,2.93400,1.65600,0.82400,0.47907,2.61080
139,4.5,134.00000,13.38733,22.33333,5.66667,51.25269,11.94820,2.97667,1.70000,0.89333,0.47298,2.23122
140,4.5,258.00000,16.29298,6.97297,3.89189,13.68794,12.40536,2.70649,1.48514,0.65243,0.65844,0.44035
141,2.5,127.00000,10.97283,6.04762,3.38095,11.88927,13.17301,2.73524,1.35429,0.53429,0.73222,0.52252
142,2.8,74.00000,19.92000,24.66667,2.66667,53.05033,8.60427,2.12667,1.90667,1.16000,0.47056,6.64000
143,3.8,87.00000,20.83400,21.75000,3.75000,45.87725,9.08720,2.22250,1.90000,1.13500,0.47997,5.20850
144,3.8,220.00000,12.97412,10.00000,5.09091,20.99414,13.07146,2.96364,1.70227,0.91455,0.47590,0.58973
145,2.5,560.00000,39.56929,7.77778,4.00000,15.39459,12.01103,2.63833,1.52611,0.75111,0.60816,0.54957
146,2.5,572.00000,51.07729,7.94444,4.16667,15.84085,11.73429,2.68833,1.54444,0.72444,0.60617,0.70941
147,2.5,728.00000,113.17729,10.11111,4.00000,20.65142,12.05373,2.72500,1.57778,0.72444,0.60346,1.57191
148,2.5,552.00000,42.52129,7.66667,3.88889,15.27209,11.77037,2.60611,1.49722,0.76222,0.60630,0.59057
149,2.5,564.00000,54.02929,7.83333,4.05556,15.71835,11.49364,2.65611,1.51556,0.73556,0.60432,0.75041
150,2.5,720.00000,116.12929,10.00000,3.88889,20.52893,11.81307,2.69278,1.54889,0.73556,0.60161,1.61291
151,6.5,222.00000,23.34898,8.88000,4.40000,17.91828,11.72784,2.76120,1.57120,0.74880,0.57434,0.93396
152,6.5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
153,5.5,106.00000,22.23933,15.14286,4.00000,31.97619,10.84397,2.70143,1.74857,0.91429,0.48411,3.17705
154,8.5,62.00000,7.25133,8.85714,4.57143,18.13877,10.82381,2.65000,1.61286,0.86143,0.48679,1.03590
155,2,87.00000,11.29700,7.90909,3.54545,15.96877,12.57838,2.70909,1.46000,0.62182,0.67486,1.02700
156,2.3,96.00000,15.55000,48.00000,4.00000,116.32550,10.39875,2.24000,2.01500,1.18000,0.44890,7.77500
157,2.5,90.00000,11.46400,18.00000,5.60000,39.56806,12.08630,2.86800,1.65200,0.86400,0.47620,2.29280
158,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
159,6.5,226.00000,18.20440,10.27273,4.72727,20.65217,11.14875,2.70227,1.69545,0.87545,0.51961,0.82747
160,5.5,76.00000,16.63000,25.33333,4.33333,55.30460,9.34320,2.15667,1.88333,1.14000,0.46586,5.54333
161,4.5,208.00000,17.34215,6.11765,3.76471,12.08985,12.23200,2.68471,1.51353,0.64588,0.63807,0.51006
162,6,156.00000,25.02199,17.33333,4.44444,37.51688,11.45876,2.85222,1.72444,0.91111,0.48314,2.78022
163,6,220.00000,41.18199,24.44444,4.66667,57.08166,11.63447,2.83000,1.73333,0.91556,0.47473,4.57578
164,6,155.00000,24.58799,17.22222,4.44444,37.41611,11.40671,2.82111,1.72556,0.91667,0.48198,2.73200
165,6,219.00000,40.74799,24.33333,4.66667,56.98089,11.58242,2.79889,1.73444,0.92111,0.47356,4.52755
166,3,985.00000,172.30711,9.75248,3.21782,20.23245,12.44433,2.66416,1.45663,0.64693,0.67613,1.70601
167,2.8,636.00000,51.43479,6.42424,3.67677,12.62489,13.12361,2.78051,1.38505,0.55879,0.70699,0.51954
168,2.8,622.00000,45.30079,6.28283,3.67677,12.30629,13.12102,2.77525,1.38192,0.56040,0.70727,0.45758
169,2.5,286.00000,21.77748,6.50000,3.77273,12.77245,13.12809,2.80091,1.39091,0.56364,0.69970,0.49494
170,7,290.00000,25.94998,10.00000,4.96552,20.17023,11.21103,2.77517,1.67862,0.86138,0.49681,0.89483
171,7,318.00000,38.21798,10.96552,4.96552,22.34547,11.22870,2.81103,1.70000,0.85034,0.49487,1.31786
172,9,50.00000,5.40200,10.00000,4.80000,20.39203,10.56518,2.70800,1.64800,0.88000,0.49274,1.08040
173,2.5,116.00000,11.35599,38.66667,6.00000,92.69733,11.11730,2.70667,1.84000,1.15000,0.45159,3.78533
174,1.8,45.00000,10.96000,22.50000,3.50000,47.80250,9.04320,2.24000,1.88000,1.13000,0.47766,5.48000
175,6.5,30.00000,2.33266,10.00000,5.33333,20.02735,11.79597,2.92667,1.71333,0.80667,0.49951,0.77755
176,2.8,100.00000,7.55849,10.00000,4.80000,20.29889,12.04083,2.75500,1.63100,0.91000,0.49272,0.75585
177,2.5,100.00000,5.62148,10.00000,4.80000,20.99413,12.59399,2.82800,1.74700,0.96400,0.47595,0.56215
178,2.8,176.00000,9.93196,8.80000,4.80000,18.58636,12.63188,2.83550,1.67950,0.91900,0.46901,0.49660
179,3.5,129.00000,30.70800,21.50000,3.83333,45.23550,9.10187,2.21667,1.90667,1.13667,0.48073,5.11800
180,5.5,390.00000,30.85214,9.51220,4.68293,19.04372,11.53093,2.71537,1.64854,0.85171,0.52265,0.75249
181,5.5,488.00000,73.79014,11.90244,4.68293,24.42877,11.57467,2.80415,1.70146,0.82439,0.51784,1.79976
182,5.5,100.00000,7.55849,10.00000,4.80000,20.29889,12.04083,2.75500,1.63100,0.91000,0.49272,0.75585
183,3.8,66.00000,17.92133,22.00000,2.66667,47.69701,9.69030,2.41333,1.81333,1.02667,0.47091,5.97378
184,7,122.00000,10.96066,9.38462,4.92308,18.91156,11.38134,2.80000,1.73154,0.83231,0.49393,0.84313
185,5.3,80.00000,6.25674,8.88889,4.44444,17.77455,11.58353,2.70444,1.67000,0.80444,0.55024,0.69519
187,5,574.00000,87.89664,15.51351,4.64865,33.34513,11.31935,2.79568,1.72919,0.91459,0.48347,2.37558
188,6.8,30.00000,2.70175,7.50000,4.00000,14.99686,11.70510,2.67250,1.49500,0.71000,0.61849,0.67544
189,2.8,67.91000,18.03840,24.34050,2.79211,52.26034,8.67034,2.14373,1.90265,1.15548,0.47163,6.46538
190,6,108.00000,7.95799,10.80000,4.80000,21.65442,11.17714,2.67500,1.73600,0.92600,0.49898,0.79580
191,5,77.00000,11.29550,9.62500,3.87500,19.70523,12.19341,2.74500,1.54250,0.69500,0.61740,1.41194
192,3.5,92.00000,6.69799,9.20000,4.80000,18.43954,11.79886,2.80500,1.65600,0.84800,0.49920,0.66980
194,3.8,192.00000,38.19100,48.00000,2.00000,111.34115,7.83425,1.96000,2.09750,1.37000,0.43151,9.54775
196,2.5,362.00000,54.20732,51.71429,4.00000,127.03700,11.61476,2.48000,1.99143,1.13143,0.43633,7.74390
197,2,144.00000,22.70700,36.00000,4.50000,84.16110,8.93297,2.24000,1.90750,1.20000,0.46287,5.67675
198,3,184.00000,40.61000,23.00000,4.00000,49.22445,9.30098,2.25375,1.86625,1.12750,0.47568,5.07625
199,5.5,50.00000,4.07400,10.00000,4.80000,20.07702,11.33044,2.70600,1.67800,0.89200,0.49845,0.81480
200,6,239.00000,23.37940,10.86364,4.68182,21.96415,11.23587,2.71227,1.70455,0.87545,0.51887,1.06270
201,2.3,130.00000,3.75582,4.81481,3.25926,9.12823,13.26603,2.68630,1.32037,0.51704,0.75491,0.13910
202,2,291.00000,38.18265,7.86486,3.45946,16.18251,12.93741,2.70000,1.39514,0.57568,0.70621,1.03196
203,2,294.00000,38.18865,7.94595,3.45946,16.16306,12.91786,2.70243,1.39270,0.57486,0.70774,1.03213
204,2.5,110.00000,23.96000,36.66667,2.66667,83.46173,8.35167,2.12667,1.99000,1.25333,0.44089,7.98667
205,7.5,72.00000,6.88374,8.00000,4.44444,16.12008,11.68323,2.72000,1.57444,0.76556,0.54626,0.76486
206,5.5,358.00000,33.24039,10.84848,4.48485,22.28822,10.95407,2.62939,1.76364,0.91515,0.50848,1.00728
207,5.5,366.00000,33.24197,11.43750,4.62500,23.56095,10.85111,2.63406,1.79156,0.94500,0.49272,1.03881
208,5.5,403.00000,36.13539,12.21212,4.63636,24.87735,11.10166,2.64000,1.76970,0.93636,0.51159,1.09501
209,5.5,411.00000,36.13697,12.84375,4.78125,26.23099,11.00331,2.64500,1.79781,0.96688,0.49594,1.12928
210,5.5,593.00000,61.67039,17.96970,4.63636,40.03462,11.01462,2.65818,1.78636,0.95152,0.49870,1.86880
211,5.5,601.00000,61.67197,18.78125,4.78125,41.86192,10.91354,2.66375,1.81500,0.98250,0.48264,1.92725
212,5.5,340.00000,31.27439,10.30303,4.48485,20.97437,10.95995,2.63576,1.76000,0.91030,0.50911,0.94771
213,5.5,348.00000,31.27597,10.87500,4.62500,22.20604,10.85718,2.64063,1.78781,0.94000,0.49338,0.97737
214,5.5,385.00000,34.16939,11.66667,4.63636,23.56350,11.10755,2.64636,1.76606,0.93152,0.51223,1.03544
215,5.5,393.00000,34.17097,12.28125,4.78125,24.87608,11.00938,2.65156,1.79406,0.96188,0.49659,1.06784
216,5.5,575.00000,59.70439,17.42424,4.63636,38.72077,11.02050,2.66455,1.78273,0.94667,0.49934,1.80922
217,5.5,583.00000,59.70597,18.21875,4.78125,40.50702,10.91961,2.67031,1.81125,0.97750,0.48330,1.86581
218,5.5,357.00000,32.80639,10.81818,4.48485,22.26074,10.93988,2.62091,1.76394,0.91667,0.50816,0.99413
219,5.5,365.00000,32.80797,11.40625,4.62500,23.53261,10.83647,2.62531,1.79188,0.94656,0.49239,1.02525
220,5.5,402.00000,35.70139,12.18182,4.63636,24.84986,11.08747,2.63152,1.77000,0.93788,0.51127,1.08186
221,5.5,410.00000,35.70297,12.81250,4.78125,26.20264,10.98867,2.63625,1.79813,0.96844,0.49561,1.11572
222,5.5,592.00000,61.23639,17.93939,4.63636,40.00713,11.00042,2.64970,1.78667,0.95303,0.49838,1.85565
223,5.5,600.00000,61.23797,18.75000,4.78125,41.83358,10.89891,2.65500,1.81531,0.98406,0.48231,1.91369
224,5.5,339.00000,30.84039,10.27273,4.48485,20.94689,10.94576,2.62727,1.76030,0.91182,0.50880,0.93456
225,5.5,347.00000,30.84197,10.84375,4.62500,22.17770,10.84254,2.63187,1.78813,0.94156,0.49305,0.96381
226,5.5,384.00000,33.73539,11.63636,4.63636,23.53601,11.09335,2.63788,1.76636,0.93303,0.51191,1.02228
227,5.5,392.00000,33.73697,12.25000,4.78125,24.84774,10.99474,2.64281,1.79438,0.96344,0.49626,1.05428
228,5.5,574.00000,59.27039,17.39394,4.63636,38.69329,11.00631,2.65606,1.78303,0.94818,0.49902,1.79607
229,5.5,582.00000,59.27197,18.18750,4.78125,40.47867,10.90498,2.66156,1.81156,0.97906,0.48297,1.85225
230,4.5,470.00000,45.99398,24.73684,5.47368,58.53484,11.42181,2.87263,1.72737,0.90000,0.47812,2.42074
231,6,169.00000,21.61699,18.77778,4.44444,41.19031,11.27152,2.78444,1.75556,0.96889,0.48015,2.40189
